TIME,GEO,SEX,AGE,UNIT,Value,Flag and Footnotes
2015,Belgium,Total,Total,Number,11237274.00,
2015,Bulgaria,Total,Total,Number,7202198.00,
2015,Czechia,Total,Total,Number,10538275.00,
2015,Denmark,Total,Total,Number,5659715.00,
2015,Germany (until 1990 former territory of the FRG),Total,Total,Number,81197537.00,
2015,Estonia,Total,Total,Number,1314870.00,b
2015,Ireland,Total,Total,Number,4677627.00,
2015,Greece,Total,Total,Number,10858018.00,
2015,Spain,Total,Total,Number,46449565.00,
2015,France,Total,Total,Number,66456279.00,b
2015,Croatia,Total,Total,Number,4225316.00,
2015,Italy,Total,Total,Number,60795612.00,
2015,Latvia,Total,Total,Number,1986096.00,
2015,Lithuania,Total,Total,Number,2921262.00,
2015,Luxembourg,Total,Total,Number,562958.00,
2015,Hungary,Total,Total,Number,9855571.00,
2015,Netherlands,Total,Total,Number,16900726.00,
2015,Austria,Total,Total,Number,8584926.00,
2015,Poland,Total,Total,Number,38005614.00,
2015,Portugal,Total,Total,Number,10374822.00,
2015,Romania,Total,Total,Number,19870647.00,e
2015,Slovenia,Total,Total,Number,2062874.00,
2015,Slovakia,Total,Total,Number,5421349.00,
2015,Finland,Total,Total,Number,5471753.00,
2015,Sweden,Total,Total,Number,9747355.00,
2015,United Kingdom,Total,Total,Number,64875165.00,e
2015,Norway,Total,Total,Number,5166493.00,
2015,Switzerland,Total,Total,Number,8237666.00,
2016,Belgium,Total,Total,Number,11311117.00,
2016,Bulgaria,Total,Total,Number,7153784.00,
2016,Czechia,Total,Total,Number,10553843.00,
2016,Denmark,Total,Total,Number,5707251.00,
2016,Germany (until 1990 former territory of the FRG),Total,Total,Number,82175684.00,
2016,Estonia,Total,Total,Number,1315944.00,
2016,Ireland,Total,Total,Number,4726286.00,
2016,Greece,Total,Total,Number,10783748.00,
2016,Spain,Total,Total,Number,46440099.00,
2016,France,Total,Total,Number,66730453.00,p
2016,Croatia,Total,Total,Number,4190669.00,
2016,Italy,Total,Total,Number,60665551.00,
2016,Latvia,Total,Total,Number,1968957.00,
2016,Lithuania,Total,Total,Number,2888558.00,
2016,Luxembourg,Total,Total,Number,576249.00,
2016,Hungary,Total,Total,Number,9830485.00,
2016,Netherlands,Total,Total,Number,16979120.00,
2016,Austria,Total,Total,Number,8700471.00,
2016,Poland,Total,Total,Number,37967209.00,
2016,Portugal,Total,Total,Number,10341330.00,
2016,Romania,Total,Total,Number,19760314.00,
2016,Slovenia,Total,Total,Number,2064188.00,
2016,Slovakia,Total,Total,Number,5426252.00,
2016,Finland,Total,Total,Number,5487308.00,
2016,Sweden,Total,Total,Number,9851017.00,
2016,United Kingdom,Total,Total,Number,65382556.00,e
2016,Norway,Total,Total,Number,5210721.00,
2016,Switzerland,Total,Total,Number,8327126.00,
